dataset,foundational_model,adapter,n_features,n_components,is_fine_tuned,context_length,forecasting_horizon,running_time,seed,metric,value,use_revin,pca_in_preprocessing
ETTh1,AutonLab/MOMENT-1-large,pca,7,6,False,512,96,75.78942657,8284,scaled_mse,0.710793308,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,6,False,512,96,75.78942657,8284,scaled_mae,0.57669476,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,7,False,512,96,85.91568995,8284,mse,0.712684077,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,7,False,512,96,85.91568995,8284,mae,0.575013282,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,7,False,512,96,85.91568995,8284,scaled_mse,0.709051081,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,7,False,512,96,85.91568995,8284,scaled_mae,0.575334585,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,3,True,512,96,96.17344689,23352,mse,0.825627855,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,3,True,512,96,96.17344689,23352,mae,0.686641676,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,3,True,512,96,96.17344689,23352,scaled_mse,0.821195506,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,3,True,512,96,96.17344689,23352,scaled_mae,0.686934741,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,4,True,512,96,116.814415,23352,mse,0.67337236,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,4,True,512,96,116.814415,23352,mae,0.599915536,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,4,True,512,96,116.814415,23352,scaled_mse,0.669320024,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,4,True,512,96,116.814415,23352,scaled_mae,0.600950047,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,5,True,512,96,137.5067482,23352,mse,0.432137338,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,5,True,512,96,137.5067482,23352,mae,0.448503609,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,5,True,512,96,137.5067482,23352,scaled_mse,0.42951377,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,5,True,512,96,137.5067482,23352,scaled_mae,0.448842116,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,6,True,512,96,159.1838603,23352,mse,0.431060322,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,6,True,512,96,159.1838603,23352,mae,0.447177997,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,6,True,512,96,159.1838603,23352,scaled_mse,0.428449558,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,6,True,512,96,159.1838603,23352,scaled_mae,0.447517317,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,7,True,512,96,184.4872742,23352,mse,0.435743588,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,7,True,512,96,184.4872742,23352,mae,0.449606376,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,7,True,512,96,184.4872742,23352,scaled_mse,0.433010389,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,7,True,512,96,184.4872742,23352,scaled_mae,0.449901956,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,1,False,512,192,23.6575582,30994,mse,1.100744824,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,1,False,512,192,23.6575582,30994,mae,0.786782668,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,1,False,512,192,23.6575582,30994,scaled_mse,1.095988948,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,1,False,512,192,23.6575582,30994,scaled_mae,0.787772093,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,2,False,512,192,31.98524141,30994,mse,1.082066519,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,2,False,512,192,31.98524141,30994,mae,0.787849112,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,2,False,512,192,31.98524141,30994,scaled_mse,1.076939851,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,2,False,512,192,31.98524141,30994,scaled_mae,0.788518975,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,3,False,512,192,41.57688785,30994,mse,1.081794026,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,3,False,512,192,41.57688785,30994,mae,0.789537237,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,3,False,512,192,41.57688785,30994,scaled_mse,1.075567881,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,3,False,512,192,41.57688785,30994,scaled_mae,0.789685087,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,4,False,512,192,53.23286915,30994,mse,0.894034278,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,4,False,512,192,53.23286915,30994,mae,0.674131887,False,False
