dataset,foundational_model,adapter,n_features,n_components,context_length,forecasting_horizon,num_layers,hidden_dim,learning_rate,batch_size,coeff_reconstruction,running_time,seed,mse,mae,test_mse,test_mae
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.001,64,10.0,251.28292512893677,1333,0.8182702568195378,0.7210980172970113,5.574581918251715,1.6514384945185916
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.0001,32,0.1,367.0088109970093,1333,0.9197070481629136,0.7390245217381806,6.164121827806644,1.7404887289661197
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.0001,32,0.1,285.6880006790161,1333,1.066648537726909,0.8172444539322472,6.7015877789151075,1.8573169236166618
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.001,64,1.0,273.4142155647278,1333,0.7931866290752213,0.6873891530016233,6.268043480484879,1.7425750032187446
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.001,64,0.1,338.55165553092957,1333,0.7538514962060121,0.6861264306399762,5.36132335268121,1.607102254480107
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.0001,32,0.1,281.5413420200348,1333,0.9555330511952199,0.7587111293725111,6.2027971561124975,1.7634804244333797
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.001,32,0.01,349.18681716918945,1333,0.8218409679581666,0.7116684522575881,6.241144238890448,1.734905520833556
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.001,32,1.0,385.59867000579834,1333,0.7167164449947362,0.6499884394117544,5.2994103006092335,1.5449933961938023
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.0001,32,0.1,322.15194392204285,1333,1.1996384948601841,0.8813094914232149,6.740256523170168,1.8866695424226938
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.0001,64,0.1,401.5223298072815,1333,1.1067430252452228,0.8080643643831069,6.618714923625944,1.8241425553278396
